Rank,CCA3,Country/Territory,Capital,Continent,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²),Density (per km²),Growth Rate,World Population Percentage,Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
39,CAN,Canada,Ottawa,North America,38454327,37888705,35732126,33963412,30683313,27657204,24511510,21434577,9984670,3.8513,1.0078,0.48,Canada ,NORTHERN AMERICA                   ,33098932,9984670,3.3,2.02,5.96,4.75,29800.0,97.0,552.2,4.96,0.02,95.02,nan,10.78,7.8,22,294,684
171,CPV,Cape Verde,Praia,Africa,593149,582640,552166,521212,458251,364563,317234,287262,4033,147.0739,1.0089,0.01,Cape Verde ,SUB-SAHARAN AFRICA                 ,420979,4033,104.4,23.93,-12.07,47.77,1400.0,76.6,169.6,9.68,0.5,89.82,3,24.87,6.55,121,219,0.66
205,CYM,Cayman Islands,George Town,North America,68706,67311,60911,54074,39658,26027,17100,10533,264,260.25,1.0084,0.0,Cayman Islands ,LATIN AMER. & CARIB    ,45436,262,173.4,61.07,18.75,8.19,35000.0,98.0,836.3,3.85,0.0,96.15,2,12.74,4.89,14,32,954
117,CAF,Central African Republic,Bangui,Africa,5579144,5343020,4819333,4660067,3759170,2809221,2415276,2067356,622984,8.9555,1.0224,0.07,Central African Rep. ,SUB-SAHARAN AFRICA                 ,4303356,622984,6.9,0.00,0,91,1100.0,51.0,2.3,3.1,0.14,96.76,2,33.91,18.65,0.55,0.2,0.25
69,TCD,Chad,N'Djamena,Africa,17723315,16644701,14140274,11894727,8259137,5827069,4408230,3667394,1284000,13.8032,1.0316,0.22,Chad ,SUB-SAHARAN AFRICA                 ,9944201,1284000,7.7,0.00,-0.11,93.82,1200.0,47.5,1.3,2.86,0.02,97.12,2,45.73,16.38,335,259,406
65,CHL,Chile,Santiago,South America,19603733,19300315,17870124,17004162,15351799,13342868,11469828,9820481,756102,25.9274,1.0057,0.25,Chile ,LATIN AMER. & CARIB    ,16134219,756950,21.3,0.85,0,8.8,9900.0,96.2,213.0,2.65,0.42,96.93,3,15.23,5.81,0.06,493,447
1,CHN,China,Beijing,Asia,1425887337,1424929781,1393715448,1348191368,1264099069,1153704252,982372466,822534450,9706961,146.8933,1.0,17.88,China ,ASIA (EX. NEAR EAST)         ,1313973713,9596960,136.9,0.15,-0.4,24.18,5000.0,90.9,266.7,15.4,1.25,83.35,1.5,13.25,6.97,125,473,403
28,COL,Colombia,Bogota,South America,51874024,50930662,47119728,44816108,39215135,32601393,26176195,20905254,1141748,45.4339,1.0069,0.65,Colombia ,LATIN AMER. & CARIB    ,43593035,1138910,38.3,0.28,-0.31,20.97,6300.0,92.5,176.2,2.42,1.67,95.91,2,20.48,5.58,125,342,533
163,COM,Comoros,Moroni,Africa,836774,806166,730216,656024,536758,431119,328328,242351,1862,449.3953,1.0184,0.01,Comoros ,SUB-SAHARAN AFRICA                 ,690948,2170,318.4,15.67,0,74.93,700.0,56.5,24.5,35.87,23.32,40.81,2,36.93,8.2,0.4,0.04,0.56
223,COK,Cook Islands,Avarua,Oceania,17011,17029,17695,17212,15897,17123,17651,20470,236,72.0805,1.0005,0.0,Cook Islands ,OCEANIA                            ,21388,240,89.1,50.00,nan,nan,5000.0,95.0,289.9,17.39,13.04,69.57,2,21.0,,151,96,753
124,CRI,Costa Rica,San José,North America,5180829,5123105,4895242,4622252,3979193,3158253,2414303,1855697,51100,101.3861,1.0052,0.06,Costa Rica ,LATIN AMER. & CARIB    ,4075261,51100,79.8,2.52,0.51,9.95,9100.0,96.0,340.7,4.41,5.88,89.71,2,18.32,4.36,88,299,614
130,HRV,Croatia,Zagreb,Europe,4030358,4096868,4254815,4368682,4548434,4873707,4680144,4492638,56594,71.2153,0.9927,0.05,Croatia ,EASTERN EUROPE                     ,4494749,56542,79.5,10.32,1.58,6.84,10600.0,98.5,420.4,26.09,2.27,71.65,nan,9.61,11.48,0.07,308,622
85,CUB,Cuba,Havana,North America,11212191,11300698,11339894,11290417,11105791,10626680,9809107,8869636,109884,102.0366,0.9961,0.14,Cuba ,LATIN AMER. & CARIB    ,11382820,110860,102.7,3.37,-1.58,6.33,2900.0,97.0,74.7,33.05,7.6,59.35,2,11.89,7.22,55,261,684
158,CYP,Cyprus,Nicosia,Europe,1251488,1237537,1187280,1129686,948237,788500,679327,640804,9251,135.2814,1.0059,0.02,Cyprus ,NEAR EAST                          ,784301,9250,84.8,7.01,0.43,7.18,19200.0,97.6,,7.79,4.44,87.77,3,12.56,7.68,37,198,765
88,CZE,Czech Republic,Prague,Europe,10493986,10530953,10523798,10464749,10234710,10301192,10270060,9795744,78865,133.0627,0.9984,0.13,Czech Republic ,EASTERN EUROPE                     ,10235455,78866,129.8,0.00,0.97,3.93,15700.0,99.9,314.3,39.8,3.05,57.15,3,9.02,10.59,34,393,573
115,DNK,Denmark,Copenhagen,Europe,5882261,5825641,5677796,5550849,5340655,5144623,5125392,4922963,43094,136.4984,1.0048,0.07,Denmark ,WESTERN EUROPE                     ,5450661,43094,126.5,16.97,2.48,4.56,31100.0,100.0,614.6,54.02,0.19,45.79,3,11.13,10.36,18,246,735
160,DJI,Djibouti,Djibouti,Africa,1120849,1090156,1006259,919199,742033,577173,324121,144379,23200,48.3125,1.0138,0.01,Djibouti ,SUB-SAHARAN AFRICA                 ,486530,23000,21.2,1.37,0,104.13,1300.0,67.9,22.8,0.04,0.0,99.96,1,39.53,19.31,179,225,596
204,DMA,Dominica,Roseau,North America,72737,71995,70007,68755,68346,69481,72978,68895,751,96.8535,1.0045,0.0,Dominica ,LATIN AMER. & CARIB    ,68910,754,91.4,19.63,-13.87,14.15,5400.0,94.0,304.8,6.67,20.0,73.33,2,15.27,6.73,177,328,495
84,DOM,Dominican Republic,Santo Domingo,North America,11228821,10999664,10405832,9775755,8540791,7129004,5755800,4475871,48671,230.7087,1.01,0.14,Dominican Republic ,LATIN AMER. & CARIB    ,9183984,48730,188.5,2.64,-3.22,32.38,6000.0,84.7,97.4,22.65,10.33,67.02,2,23.22,5.73,112,306,582
67,ECU,Ecuador,Quito,South America,18001000,17588595,16195902,14989585,12626507,10449837,8135845,6172215,276841,65.0229,1.0114,0.23,Ecuador ,LATIN AMER. & CARIB    ,13547510,283560,47.8,0.79,-8.58,23.66,3300.0,92.5,125.6,5.85,4.93,89.22,2,22.29,4.23,0.07,312,618
14,EGY,Egypt,Cairo,Africa,110990103,107465134,97723799,87252413,71371371,57214630,43748556,34781986,1002450,110.7188,1.0158,1.39,Egypt ,NORTHERN AFRICA                    ,78887007,1001450,78.8,0.24,-0.22,32.59,4000.0,57.7,131.8,2.87,0.48,96.65,1,22.94,5.23,149,357,493
112,SLV,El Salvador,San Salvador,North America,6336392,6292731,6231066,6114034,5958482,5367179,4508992,3619090,21041,301.145,1.0035,0.08,El Salvador ,LATIN AMER. & CARIB    ,6822378,21040,324.3,1.46,-3.74,25.1,4800.0,80.2,142.4,31.85,12.07,56.08,2,26.61,5.78,99,302,599
152,GNQ,Equatorial Guinea,Malabo,Africa,1674908,1596049,1346973,1094524,684977,465549,282509,316955,28051,59.7094,1.0247,0.02,Equatorial Guinea ,SUB-SAHARAN AFRICA                 ,540109,28051,19.3,1.06,0,85.13,2700.0,85.7,18.5,4.63,3.57,91.8,2,35.59,15.06,0.03,906,62
132,ERI,Eritrea,Asmara,Africa,3684032,3555868,3340006,3147727,2392880,2149960,1657982,1272748,117600,31.3268,1.0176,0.05,Eritrea ,SUB-SAHARAN AFRICA                 ,4786994,121320,39.5,1.84,0,74.87,700.0,58.6,7.9,4.95,0.03,95.02,1.5,34.33,9.6,102,254,643
156,EST,Estonia,Tallinn,Europe,1326062,1329444,1314657,1331535,1396877,1570674,1476983,1361999,45227,29.3201,0.998,0.02,Estonia ,BALTICS                            ,1324333,45226,29.3,8.39,-3.16,7.87,12300.0,99.8,333.8,16.04,0.45,83.51,3,10.04,13.25,0.04,294,666
12,ETH,Ethiopia,Addis Ababa,Africa,123379924,117190911,102471895,89237791,67031867,47878073,34945469,28308246,1104300,111.7268,1.0257,1.55,Ethiopia ,SUB-SAHARAN AFRICA                 ,74777981,1127127,66.3,0.00,0,95.32,700.0,42.7,8.2,10.71,0.75,88.54,2,37.98,14.86,475,99,426
209,FRO,Faroe Islands,Tórshavn,Europe,53090,52415,48816,48410,45660,47479,43054,38416,1393,38.112,1.0038,0.0,Faroe Islands ,WESTERN EUROPE                     ,47246,1399,33.8,79.84,1.41,6.24,22000.0,,503.8,2.14,0.0,97.86,nan,14.05,8.7,0.27,0.11,0.62
162,FJI,Fiji,Suva,Oceania,929766,920422,917200,905169,832509,780430,644582,527634,18272,50.8847,1.0056,0.01,Fiji ,OCEANIA                            ,905949,18270,49.6,6.18,-3.14,12.62,5800.0,93.7,112.6,10.95,4.65,84.4,2,22.55,5.65,89,135,776
118,FIN,Finland,Helsinki,Europe,5540745,5529468,5479461,5363271,5176209,4986545,4779418,4606621,338424,16.3722,1.0009,0.07,Finland ,WESTERN EUROPE                     ,5231372,338145,15.5,0.37,0.95,3.57,27400.0,100.0,405.3,7.19,0.03,92.78,3,10.45,9.86,28,295,676
23,FRA,France,Paris,Europe,64626628,64480053,63809769,62444567,58665453,56412897,53713830,50523586,551695,117.1419,1.0015,0.81,France ,WESTERN EUROPE                     ,60876136,547030,111.3,0.63,0.66,4.26,27600.0,99.0,586.4,33.53,2.07,64.4,4,11.99,9.14,22,214,764
184,GUF,French Guiana,Cayenne,South America,304557,290969,257026,228453,164351,113931,66825,46484,83534,3.6459,1.0239,0.0,French Guiana ,LATIN AMER. & CARIB    ,199509,91000,2.2,0.42,6.27,12.07,8300.0,83.0,255.6,0.14,0.05,99.81,2,20.46,4.88,66,156,778
183,PYF,French Polynesia,Papeete,Oceania,306279,301920,291787,283788,250927,211089,163591,117891,4167,73.5011,1.0074,0.0,French Polynesia ,OCEANIA                            ,274578,4167,65.9,60.60,2.94,8.44,17500.0,98.0,194.5,0.82,5.46,93.72,2,16.68,4.69,31,0.19,769
146,GAB,Gabon,Libreville,Africa,2388992,2292573,2028517,1711105,1272935,983028,749078,597192,267668,8.9252,1.0204,0.03,Gabon ,SUB-SAHARAN AFRICA                 ,1424906,267667,5.3,0.33,0,53.64,5500.0,63.2,27.4,1.26,0.66,98.08,2,36.16,12.25,61,592,348
142,GMB,Gambia,Banjul,Africa,2705992,2573995,2253133,1937275,1437539,1040616,718586,528731,10689,253.1567,1.025,0.03,Gambia. The ,SUB-SAHARAN AFRICA                 ,1641564,11300,145.3,0.71,1.57,72.02,1700.0,40.1,26.8,25.0,0.5,74.5,2,39.37,12.25,308,142,549
131,GEO,Georgia,Tbilisi,Asia,3744385,3765912,3771132,3836831,4265172,5391636,5145843,4800426,69700,53.7214,0.9964,0.05,Georgia ,C.W. OF IND. STATES ,4661473,69700,66.9,0.44,-4.7,18.59,2500.0,99.0,146.6,11.44,3.86,84.7,3,10.41,9.23,172,275,553
19,DEU,Germany,Berlin,Europe,83369843,83328988,82073226,81325090,81551677,79370196,77786703,78294583,357114,233.4544,0.9995,1.05,Germany ,WESTERN EUROPE                     ,82422299,357021,230.9,0.67,2.18,4.16,27600.0,99.0,667.9,33.85,0.59,65.56,3,8.25,10.62,9,296,695
47,GHA,Ghana,Accra,Africa,33475870,32180401,28870939,25574719,19665502,15446982,11865246,8861895,238533,140.3406,1.0196,0.42,Ghana ,SUB-SAHARAN AFRICA                 ,22409572,239460,93.6,0.23,-0.64,51.43,2200.0,74.8,14.4,16.26,9.67,74.07,2,30.52,9.72,366,246,387
219,GIB,Gibraltar,Gibraltar,Europe,32649,32709,32520,31262,27741,27317,28734,26685,6,5441.5,0.9994,0.0,Gibraltar ,WESTERN EUROPE                     ,27928,7,3989.7,171.43,0,5.13,17500.0,,877.7,0.0,0.0,100.0,nan,10.74,9.31,nan,nan,nan
90,GRC,Greece,Athens,Europe,10384971,10512232,10806641,11033783,11038109,10302255,9307148,8544873,131990,78.68,0.9942,0.13,Greece ,WESTERN EUROPE                     ,10688058,131940,81.0,10.37,2.35,5.53,20000.0,97.5,589.7,21.1,8.78,70.12,3,9.68,10.24,54,213,733
208,GRL,Greenland,Nuuk,North America,56466,56026,55895,56351,56184,55599,50106,45434,2166086,0.0261,1.004,0.0,Greenland ,NORTHERN AMERICA                   ,56361,2166086,0.0,2.04,-8.37,15.82,20000.0,,448.9,0.0,0.0,100.0,1,15.93,7.84,nan,nan,nan
193,GRD,Grenada,Saint George's,North America,125438,123663,118980,114039,107432,99047,94838,98794,344,364.6453,1.0066,0.0,Grenada ,LATIN AMER. & CARIB    ,89703,344,260.8,35.17,-13.92,14.62,5000.0,98.0,364.5,5.88,29.41,64.71,2,22.08,6.88,54,0.18,766
178,GLP,Guadeloupe,Basse-Terre,North America,395752,395642,399089,403072,424067,391951,334234,318310,1628,243.0909,0.9992,0.0,Guadeloupe ,LATIN AMER. & CARIB    ,452776,1780,254.4,17.19,-0.15,8.6,8000.0,90.0,463.8,11.24,3.55,85.21,2,15.05,6.09,0.15,0.17,0.68
191,GUM,Guam,Hagåtña,Oceania,171774,169231,167978,164905,160188,138263,110286,88300,549,312.8852,1.0073,0.0,Guam ,OCEANIA                            ,171019,541,316.1,23.20,0,6.94,21000.0,99.0,492.0,9.09,16.36,74.55,2,18.79,4.48,nan,nan,nan
68,GTM,Guatemala,Guatemala City,North America,17843908,17362718,16001107,14543121,11735894,9084780,6987767,5453208,108889,163.8725,1.0134,0.22,Guatemala ,LATIN AMER. & CARIB    ,12293545,108890,112.9,0.37,-1.67,35.93,4100.0,70.6,92.1,12.54,5.03,82.43,2,29.88,5.2,227,188,585
207,GGY,Guernsey,Saint Peter Port,Europe,63301,62794,61629,60782,59114,57727,52860,52656,78,811.5513,1.0037,0.0,Guernsey ,WESTERN EUROPE                     ,65409,78,838.6,64.10,3.84,4.71,20000.0,,842.4,,,,3,8.81,10.01,0.03,0.1,0.87
75,GIN,Guinea,Conakry,Africa,13859341,13205153,11625998,10270728,8336967,6354145,4972609,4222374,245857,56.3716,1.0242,0.17,Guinea ,SUB-SAHARAN AFRICA                 ,9690222,245857,39.4,0.13,-3.06,90.37,2100.0,35.9,2.7,3.63,2.58,93.79,2,41.76,15.48,237,362,401
149,GNB,Guinea-Bissau,Bissau,Africa,2105566,2015828,1788919,1567220,1230849,973551,831462,591663,36125,58.2856,1.0218,0.03,Guinea-Bissau ,SUB-SAHARAN AFRICA                 ,1442029,36120,39.9,0.97,-1.57,107.17,800.0,42.4,7.4,10.67,8.82,80.51,2,37.22,16.53,0.62,0.12,0.26
164,GUY,Guyana,Georgetown,South America,808726,797202,755031,747932,759051,747116,778176,705261,214969,3.7621,1.0052,0.01,Guyana ,LATIN AMER. & CARIB    ,767245,214970,3.6,0.21,-2.07,33.26,4000.0,98.8,143.5,2.44,0.15,97.41,2,18.28,8.28,0.37,203,427
82,HTI,Haiti,Port-au-Prince,North America,11584996,11306801,10563757,9842880,8360225,6925331,5646676,4680812,27750,417.4773,1.012,0.15,Haiti ,LATIN AMER. & CARIB    ,8308504,27750,299.4,6.38,-3.4,73.45,1600.0,52.9,16.9,28.3,11.61,60.09,2,36.44,12.17,0.28,0.2,0.52
89,HND,Honduras,Tegucigalpa,North America,10432860,10121763,9294505,8450933,6656725,5053234,3777990,2782753,112492,92.7431,1.015,0.13,Honduras ,LATIN AMER. & CARIB    ,7326496,112090,65.4,0.73,-1.99,29.32,2600.0,76.2,67.5,9.55,3.22,87.23,2,28.24,5.28,139,312,549
104,HKG,Hong Kong,Hong Kong,Asia,7488865,7500958,7399838,7132438,6731195,5838574,4978544,3955072,1104,6783.3922,0.9992,0.09,Hong Kong ,ASIA (EX. NEAR EAST)         ,6940432,1092,6355.7,67.12,5.24,2.97,28800.0,93.5,546.7,5.05,1.01,93.94,2,7.29,6.29,1,92,906
94,HUN,Hungary,Budapest,Europe,9967308,9750573,9844246,9986825,10202055,10375989,10698679,10315366,93028,107.1431,1.0265,0.12,Hungary ,EASTERN EUROPE                     ,9981334,93030,107.3,0.00,0.86,8.57,13900.0,99.4,336.2,50.09,2.06,47.85,3,9.72,13.11,37,312,651
179,ISL,Iceland,Reykjavík,Europe,372899,366669,331060,318333,281462,255019,228263,204468,103000,3.6204,1.0069,0.0,Iceland ,WESTERN EUROPE                     ,299388,103000,2.9,4.83,2.38,3.31,30900.0,99.9,647.7,0.07,0.0,99.93,3,13.64,6.72,86,0.15,765
2,IND,India,New Delhi,Asia,1417173173,1396387127,1322866505,1240613620,1059633675,870452165,696828385,557501301,3287590,431.0675,1.0068,17.77,India ,ASIA (EX. NEAR EAST)         ,1095351995,3287590,333.2,0.21,-0.07,56.29,2900.0,59.5,45.4,54.4,2.74,42.86,2.5,22.01,8.18,186,276,538
4,IDN,Indonesia,Jakarta,Asia,275501339,271857970,259091970,244016173,214072421,182159874,148177096,115228394,1904569,144.6529,1.0064,3.45,Indonesia ,ASIA (EX. NEAR EAST)         ,245452739,1919440,127.9,2.85,0,35.6,3200.0,87.9,52.0,11.32,7.23,81.45,2,20.34,6.25,134,458,408
17,IRN,Iran,Tehran,Asia,88550570,87290193,81790841,75373855,65544383,55793629,38520664,28449705,1648195,53.7258,1.0071,1.11,Iran ,ASIA (EX. NEAR EAST)         ,68688433,1648000,41.7,0.15,-0.84,41.58,7000.0,79.4,276.4,8.72,1.39,89.89,1,17.0,5.55,116,424,0.46
35,IRQ,Iraq,Baghdad,Asia,44496122,42556984,37757813,31264875,24628858,17658381,13653369,9811347,438317,101.5158,1.0221,0.56,Iraq ,NEAR EAST                          ,26783383,437072,61.3,0.01,0,50.25,1500.0,40.4,38.6,13.15,0.78,86.07,1,31.98,5.37,73,666,261
125,IRL,Ireland,Dublin,Europe,5023109,4946119,4665760,4524585,3768950,3485374,3391387,2937637,70273,71.4799,1.0073,0.06,Ireland ,WESTERN EUROPE                     ,4062235,70280,57.8,2.06,4.99,5.39,29600.0,98.0,500.5,15.2,0.03,84.77,3,14.45,7.82,0.05,0.46,0.49
202,IMN,Isle of Man,Douglas,Europe,84519,84046,83593,83828,75562,68865,64022,55298,572,147.7605,1.003,0.0,Congo. Repub. of the ,SUB-SAHARAN AFRICA                 ,3702314,342000,10.8,0.05,-0.17,93.86,700.0,83.8,3.7,0.51,0.13,99.36,2,42.57,12.93,62,0.57,369
202,IMN,Isle of Man,Douglas,Europe,84519,84046,83593,83828,75562,68865,64022,55298,572,147.7605,1.003,0.0,Isle of Man ,WESTERN EUROPE                     ,75441,572,131.9,27.97,5.36,5.93,21000.0,,676.0,9.0,0.0,91.0,3,11.05,11.19,0.01,0.13,0.86
98,ISR,Israel,Jerusalem,Asia,9038309,8757489,8007778,7328445,6116958,4803254,3744608,2907307,20770,435.1617,1.0155,0.11,Israel ,NEAR EAST                          ,6352117,20770,305.8,1.31,0.68,7.03,19800.0,95.4,462.3,16.39,4.17,79.44,3,17.97,6.18,26,317,657
25,ITA,Italy,Rome,Europe,59037474,59500579,60232906,59822450,56966397,56756561,56329482,53324036,301336,195.9191,0.9966,0.74,Italy ,WESTERN EUROPE                     ,58133509,301230,193.0,2.52,2.07,5.94,26700.0,98.6,430.9,27.79,9.53,62.68,nan,8.72,10.4,21,291,688
139,JAM,Jamaica,Kingston,North America,2827377,2820436,2794445,2733896,2612205,2392030,2135546,1859091,10991,257.2447,0.9999,0.04,Jamaica ,LATIN AMER. & CARIB    ,2758124,10991,250.9,9.30,-4.92,12.36,3900.0,87.9,124.0,16.07,10.16,73.77,2,20.82,6.52,49,337,615
11,JPN,Japan,Tokyo,Asia,123951692,125244761,127250933,128105431,126803861,123686321,117624196,105416839,377930,327.9753,0.9947,1.55,Japan ,ASIA (EX. NEAR EAST)         ,127463611,377835,337.4,7.87,0,3.26,28200.0,99.0,461.2,12.19,0.96,86.85,3,9.37,9.16,17,258,725
195,JEY,Jersey,Saint Helier,Europe,110778,108319,100561,96151,86192,82874,75124,68347,116,954.9828,1.0106,0.0,Jersey ,WESTERN EUROPE                     ,91084,116,785.2,60.34,2.76,5.24,24800.0,,811.3,0.0,0.0,100.0,3,9.3,9.28,0.05,0.02,0.93
83,JOR,Jordan,Amman,Asia,11285869,10928721,9494246,6931258,5056174,3480587,2216903,1557374,89342,126.3221,1.0123,0.14,Jordan ,NEAR EAST                          ,5906760,92300,64.0,0.03,6.59,17.35,4300.0,91.3,104.5,2.67,1.83,95.5,1,21.25,2.65,33,287,0.68
66,KAZ,Kazakhstan,Nursultan,Asia,19397998,18979243,17835909,16627837,15236253,16866563,14172710,12265305,2724900,7.1188,1.0105,0.24,Kazakhstan ,C.W. OF IND. STATES ,15233244,2717300,5.6,0.00,-3.35,29.21,6300.0,98.4,164.1,7.98,0.05,91.97,4,16.0,9.42,67,386,547
27,KEN,Kenya,Nairobi,Africa,54027487,51985780,46851488,41517895,30851606,23162269,16187124,11473087,580367,93.0919,1.0193,0.68,Kenya ,SUB-SAHARAN AFRICA                 ,34707817,582650,59.6,0.09,-0.1,61.47,1000.0,85.1,8.1,8.08,0.98,90.94,1.5,39.72,14.02,163,188,651
192,KIR,Kiribati,Tarawa,Oceania,131232,126463,116707,107995,88826,75124,60813,57437,811,161.815,1.0183,0.0,Kiribati ,OCEANIA                            ,105432,811,130.0,140.94,0,48.52,800.0,,42.7,2.74,50.68,46.58,2,30.65,8.26,89,242,668
129,KWT,Kuwait,Kuwait City,Asia,4268873,4360444,3908743,2943356,1934901,1674938,1493870,802786,17818,239.5821,1.0044,0.05,Kuwait ,NEAR EAST                          ,2418393,17820,135.7,2.80,14.18,9.95,19000.0,83.5,211.0,0.73,0.11,99.16,1,21.94,2.41,4,479,516
110,KGZ,Kyrgyzstan,Bishkek,Asia,6630623,6424874,5914980,5483774,4935182,4394734,3691209,3016384,199951,33.1612,1.0158,0.08,Kyrgyzstan ,C.W. OF IND. STATES ,5213898,198500,26.3,0.00,-2.45,35.64,1600.0,97.0,84.0,7.3,0.35,92.35,2.5,22.8,7.08,353,208,439
103,LAO,Laos,Vientiane,Asia,7529475,7319399,6787419,6323418,5430853,4314443,3297519,2675283,236800,31.7968,1.0141,0.09,Laos ,ASIA (EX. NEAR EAST)         ,6368481,236800,26.9,0.00,0,85.22,1700.0,66.4,14.1,3.8,0.35,95.85,2,35.49,11.55,455,287,258
151,LVA,Latvia,Riga,Europe,1850651,1897052,1991955,2101530,2392530,2689391,2572037,2397414,64559,28.666,0.9876,0.02,Latvia ,BALTICS                            ,2274735,64589,35.2,0.82,-2.23,9.55,10200.0,99.8,321.4,29.67,0.47,69.86,3,9.24,13.66,0.04,261,699
119,LBN,Lebanon,Beirut,Asia,5489739,5662923,6398940,4995800,4320642,3593700,2963702,2381791,10452,525.2334,0.9816,0.07,Lebanon ,NEAR EAST                          ,3874050,10400,372.5,2.16,0,24.52,4800.0,87.4,255.6,16.62,13.98,69.4,nan,18.52,6.21,0.12,0.21,0.67
147,LSO,Lesotho,Maseru,Africa,2305825,2254100,2118521,2022747,1998630,1798997,1407672,1023481,30355,75.962,1.0107,0.03,Lesotho ,SUB-SAHARAN AFRICA                 ,2022331,30355,66.6,0.00,-0.74,84.23,3000.0,84.8,23.7,10.87,0.13,89.0,3,24.75,28.71,163,443,394
121,LBR,Liberia,Monrovia,Africa,5302681,5087584,4612329,4019956,2895224,2209731,1932169,1463563,111369,47.6136,1.021,0.07,Liberia ,SUB-SAHARAN AFRICA                 ,3042004,111370,27.3,0.52,0,128.87,1000.0,57.5,2.3,3.95,2.28,93.77,2,44.77,23.1,769,54,177
107,LBY,Libya,Tripoli,Africa,6812341,6653942,6192235,6491988,5154790,4236983,2962720,1909177,1759540,3.8717,1.0114,0.09,Libya ,NORTHERN AFRICA                    ,5900754,1759540,3.4,0.10,0,24.6,6400.0,82.6,127.1,1.03,0.19,98.78,nan,26.49,3.48,76,499,425
216,LIE,Liechtenstein,Vaduz,Europe,39327,38756,37355,35926,33026,28765,25003,21089,160,245.7937,1.0074,0.0,Liechtenstein ,WESTERN EUROPE                     ,33987,160,212.4,0.00,4.85,4.7,25000.0,100.0,585.5,25.0,0.0,75.0,4,10.21,7.18,0.06,0.39,0.55
141,LTU,Lithuania,Vilnius,Europe,2750055,2820267,2963765,3139019,3599637,3785847,3521206,3210147,65300,42.1142,0.9869,0.03,Lithuania ,BALTICS                            ,3585906,65200,55.0,0.14,-0.71,6.89,11400.0,99.6,223.4,45.22,0.91,53.87,nan,8.75,10.98,55,325,0.62
168,LUX,Luxembourg,Luxembourg,Europe,647599,630399,569408,507070,435628,381267,363741,339342,2586,250.425,1.0129,0.01,Luxembourg ,WESTERN EUROPE                     ,474413,2586,183.5,0.00,8.97,4.81,55100.0,100.0,515.4,23.28,0.4,76.32,nan,11.94,8.41,0.01,0.13,0.86
167,MAC,Macau,Concelho de Macau,Asia,695168,676283,615239,557297,431896,350227,245332,247284,30,23172.2667,1.0125,0.01,Macau ,ASIA (EX. NEAR EAST)         ,453125,28,16183.0,146.43,4.86,4.39,19400.0,94.5,384.9,0.0,0.0,100.0,2,8.48,4.47,1,72,927
50,MDG,Madagascar,Antananarivo,Africa,29611714,28225177,24850912,21731053,16216431,11882762,8948162,6639751,587041,50.4423,1.0241,0.37,Madagascar ,SUB-SAHARAN AFRICA                 ,18595469,587040,31.7,0.82,0,76.83,800.0,68.9,3.6,5.07,1.03,93.91,2,41.41,11.11,276,165,559
62,MWI,Malawi,Lilongwe,Africa,20405317,19377061,16938942,14718422,11229387,9539665,6267369,4625141,118484,172.22,1.0259,0.26,Malawi ,SUB-SAHARAN AFRICA                 ,13013926,118480,109.8,0.00,0,103.32,600.0,62.7,7.9,23.38,1.49,75.13,2,43.13,19.33,342,158,499
45,MYS,Malaysia,Kuala Lumpur,Asia,33938221,33199993,31068833,28717731,22945150,17517054,13215707,10306508,330803,102.5934,1.0109,0.43,Malaysia ,ASIA (EX. NEAR EAST)         ,24385858,329750,74.0,1.42,0,17.7,9000.0,88.7,179.0,5.48,17.61,76.91,2,22.86,5.05,84,0.48,436
174,MDV,Maldives,Malé,Asia,523787,514438,435582,361575,282507,224957,164887,123243,300,1745.9567,1.0045,0.01,Maldives ,ASIA (EX. NEAR EAST)         ,359008,300,1196.7,214.67,0,56.52,3900.0,97.2,90.0,13.33,16.67,70.0,2,34.81,7.06,0.2,0.18,0.62
59,MLI,Mali,Bamako,Africa,22593590,21224040,18112907,15529181,11239101,8945026,7372581,6153587,1240192,18.2178,1.0314,0.28,Mali ,SUB-SAHARAN AFRICA                 ,11716829,1240000,9.5,0.00,-0.33,116.79,900.0,46.4,6.4,3.82,0.03,96.15,2,49.82,16.89,0.45,0.17,0.38
173,MLT,Malta,Valletta,Europe,533286,515357,456579,418755,399212,365392,333587,315414,316,1687.6139,1.0124,0.01,Malta ,WESTERN EUROPE                     ,400214,316,1266.5,62.28,2.07,3.89,17700.0,92.8,505.0,28.13,3.13,68.74,nan,10.22,8.1,0.03,0.23,0.74
215,MHL,Marshall Islands,Majuro,Oceania,41569,43413,49410,53416,54224,46047,31988,23969,181,229.663,0.9886,0.0,Marshall Islands ,OCEANIA                            ,60422,11854,5.1,3.12,-6.04,29.45,1600.0,93.7,91.2,16.67,38.89,44.44,2,33.05,4.78,317,149,534
180,MTQ,Martinique,Fort-de-France,North America,367507,370391,383515,392181,432543,374271,333786,326428,1128,325.8041,0.9965,0.0,Martinique ,LATIN AMER. & CARIB    ,436131,1100,396.5,31.82,-0.05,7.09,14400.0,97.7,394.4,10.38,9.43,80.19,2,13.74,6.48,0.06,0.11,0.83
