Rank,CCA3,Country/Territory,Capital,Continent,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²),Density (per km²),Growth Rate,World Population Percentage,Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
95,TJK,Tajikistan,Dushanbe,Asia,9952787,9543207,8524063,7621779,6272998,5417860,4045965,2993019,143100,69.5513,1.0208,0.12,Tajikistan ,C.W. OF IND. STATES ,7320815,143100,51.2,0.00,-2.86,110.76,1000.0,99.4,33.5,6.61,0.92,92.47,2,32.65,8.25,234,286,0.48
22,TZA,Tanzania,Dodoma,Africa,65497748,61704518,52542823,45110527,34463704,26206012,19297659,13618192,945087,69.3034,1.03,0.82,Tanzania ,SUB-SAHARAN AFRICA                 ,37445392,945087,39.6,0.15,-2.06,98.54,600.0,78.2,4.0,4.52,1.08,94.4,nan,37.71,16.39,432,172,396
20,THA,Thailand,Bangkok,Asia,71697030,71475664,70294397,68270489,63066603,55228410,45737753,35791728,513120,139.7276,1.0013,0.9,Thailand ,ASIA (EX. NEAR EAST)         ,64631595,514000,125.7,0.63,0,20.48,7400.0,92.6,108.9,29.36,6.46,64.18,2,13.87,7.04,99,441,0.46
100,TGO,Togo,Lomé,Africa,8848699,8442580,7473229,6571855,5008035,3875947,2838110,2197383,56785,155.8281,1.0236,0.11,Togo ,SUB-SAHARAN AFRICA                 ,5548702,56785,97.7,0.10,0,66.61,1500.0,60.9,10.6,46.15,2.21,51.64,2,37.01,9.83,395,204,401
197,TON,Tonga,Nuku‘alofa,Oceania,106858,105254,106122,107383,102603,98727,96708,86484,747,143.0495,1.0079,0.0,Tonga ,OCEANIA                            ,114689,748,153.3,56.02,0,12.62,2200.0,98.5,97.7,23.61,43.06,33.33,2,25.37,5.28,0.23,0.27,0.5
153,TTO,Trinidad and Tobago,Port-of-Spain,North America,1531044,1518147,1460177,1410296,1332203,1266518,1127852,988890,5130,298.4491,1.0035,0.02,Trinidad & Tobago ,LATIN AMER. & CARIB    ,1065842,5128,207.9,7.06,-10.83,24.31,9500.0,98.6,303.5,14.62,9.16,76.22,2,12.9,10.57,7,0.57,423
79,TUN,Tunisia,Tunis,Africa,12356117,12161723,11557779,10895063,9893316,8440023,6578156,5047404,163610,75.5218,1.0076,0.15,Tunisia ,NORTHERN AFRICA                    ,10175014,163610,62.2,0.70,-0.57,24.77,6900.0,74.2,123.6,17.86,13.74,68.4,3,15.52,5.13,132,318,0.55
18,TUR,Turkey,Ankara,Asia,85341241,84135428,79646178,73195345,64113547,54324142,44089069,35540990,783562,108.9145,1.0067,1.07,Turkey ,NEAR EAST                          ,70413958,780580,90.2,0.92,0,41.04,6700.0,86.5,269.5,30.93,3.31,65.76,3,16.62,5.97,117,298,585
111,TKM,Turkmenistan,Ashgabat,Asia,6430770,6250438,5766431,5267970,4569132,3720278,2862903,2201432,488100,13.1751,1.014,0.08,Turkmenistan ,C.W. OF IND. STATES ,5042920,488100,10.3,0.00,-0.86,73.08,5800.0,98.0,74.6,3.72,0.14,96.14,1,27.61,8.6,209,0.38,411
227,TUV,Tuvalu,Funafuti,Oceania,11312,11069,10877,10550,9638,9182,7731,5814,26,435.0769,1.0096,0.0,Tuvalu ,OCEANIA                            ,11810,26,454.2,92.31,0,20.03,1100.0,,59.3,0.0,0.0,100.0,2,22.18,7.11,166,272,562
